"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"OFFERING FORGED/FALSE EVIDENCE","Title 21","21-451",1998,"21-451",1998,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DECEIVING WITNESS","Title 21","21-452",1910,"21-452",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"PREPARING FALSE EVIDENCE","Title 21","21-453",1998,"21-453",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"DESTROYING EVIDENCE","Title 21","21-454",1910,"21-454",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"PREVENTING WITNESS FROM ATTENDING COURT","Title 21","21-455",2013,"21-455",2013,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"THREATS/HARASSMENT/HARM BECAUSE OF WITNESS TESTIMONY)","Title 21","21-455",2013,"21-455",2013,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BRIBING WITNESS/SUBORNATION OF PERJURY","Title 21","21-456",1998,"21-456",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Theft, Destruction, etc. of Records by Custodian","Title 21","21-461",1999,"21-461",1999,"Felony","0","5","Unspecified","Unspecified","No","Applicable","Not Applicable","Check 21-64"
"Theft, Destruction, etc. of Records by Others","Title 21","21-462",1999,"21-462",1999,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"OFFERING FORGED/FALSE INSTRUMENT FOR REC","Title 21","21-463",1998,"21-463",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Forgery of Name on Court Documents, etc.","Title 21","21-464",1910,"21-464",1910,"Unspecified","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Salary Payments to Ineligible Persons","Title 21","21-482",1910,"21-485",1910,"Misdemeanor","Unspecified","Unspecified","100","1000","No","Applicable","Not Applicable","Not Applicable"
"Unlawful to Appoint Relatives","Title 21","21-483",1910,"21-485",1910,"Misdemeanor","Unspecified","Unspecified","100","1000","No","Applicable","Not Applicable","Not Applicable"
"Prohibition on Relatives Holding Office, Clerkship, etc.","Title 21","21-484",1988,"21-485",1910,"Misdemeanor","Unspecified","Unspecified","100","1000","No","Applicable","Not Applicable","Not Applicable"
"PERJURY (TRIAL OF FELONY INDICTMENT)","Title 21","21-500.A.1",1999,"21-500.A.1",1999,"Felony","2","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"PERJURY (TRIAL OF NON-FELONY)","Title 21","21-500.A.2",1999,"21-500.A.2",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"PERJURY (OTHER)","Title 21","21-500.A.3",1999,"21-500.A.3",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"PERJURY BY SUBORNATION (TRIAL OF FELONY INDICTMENT)","Title 21","21-505",1965,"21-500.A.1",1999,"Felony","2","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"PERJURY BY SUBORNATION (TRIAL OF NON-FELONY)","Title 21","21-505",1965,"21-500.A.2",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"PERJURY BY SUBORNATION (OTHER)","Title 21","21-505",1965,"21-500.A.3",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"THIRD FELONY OFFENSE WITHIN 10 YEARS OF COMPLETING SECOND FELONY SENTENCE - WHERE DA SEEKS ENHANCEMENT","Title 21","21-51.1",2018,"21-51.1.C",2018,"Felony","4","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"First Degree Rape, Sodomy, Lewd Molestation, Sexual Abuse of a Child (Second Offense)","Title 21","21-51.1a",2002,"21-51.1a",2002,"Felony","Life without Parole","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Rescuing Prisoner by Force or Fraud (Felony Prisoner)","Title 21","21-521",1999,"21-521.A.1",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Rescuing Prisoner by Force or Fraud (Non-Felony Prisoner)","Title 21","21-521",1999,"21-521.A.2",1999,"Unspecified","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Injuring or Taking Property from Officer","Title 21","21-522",1910,"21-522",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Concealment of Birth or Death of Illegitimate Child (Second Offense)","Title 21","21-53",1999,"21-53",1999,"Felony","2","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Destroying Official Records - Misappropriation by Sheriff, Coroner, Clerk, etc.","Title 21","21-531",2002,"21-531",2002,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"ALLOWING PRISONER TO ESCAPE","Title 21","21-532",1998,"21-532",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Officer Refusal to Receive Prisoner (Receive into Custody)","Title 21","21-533.A",2005,"21-533.A",2005,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Officer Refusal to Receive Prisoner (Fingerprint)","Title 21","21-533.B",2005,"21-533.B",2005,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Delaying Taking Prisoner before Magistrate","Title 21","21-534",1910,"21-534",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Arresting Person Under Pretense Authority","Title 21","21-535",1910,"21-535",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Execution of Search Warrant","Title 21","21-536",1910,"21-536",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
